ID,Path Prefix,Display Name,Full Endpoint
FL0101,bpp,Brian Piccolo Park,https://broward.thormobile4.net/bpp/FL0101.xml
FL0102,cbsp,CB Smith Park,https://broward.thormobile4.net/cbsp/FL0102.xml
FL0103,cbrp,Cent Broward Reg Park,https://broward.thormobile4.net/cbrp/FL0103.xml
FL0104,ep,Easterlin Park,https://broward.thormobile4.net/ep/FL0104.xml
FL0105,ff,Forest Fern,https://broward.thormobile4.net/ff/FL0105.xml
FL0106,fp,Franklin Park,https://broward.thormobile4.net/fp/FL0106.xml
FL0107,lk,Long Key,https://broward.thormobile4.net/lk/FL0107.xml
FL0108,mp,Markham Park,https://broward.thormobile4.net/mp/FL0108.xml
FL0109,php,Plantation Heritage,https://broward.thormobile4.net/php/FL0109.xml
FL0110,qwp,Quiet Waters,https://broward.thormobile4.net/qwp/FL0110.xml
FL0111,rsdp,Rev Sam Delevoe Park,https://broward.thormobile4.net/rsdp/FL0111.xml
FL0112,rgp,Roosevelt Gardens,https://broward.thormobile4.net/rgp/FL0112.xml
FL0113,sw,Secret Woods,https://broward.thormobile4.net/sw/FL0113.xml
FL0114,svp,Sunview Park,https://broward.thormobile4.net/svp/FL0114.xml
FL0115,tp,Tradewinds Park,https://broward.thormobile4.net/tp/FL0115.xml
FL0116,ttp,Tree Tops Park,https://broward.thormobile4.net/ttp/FL0116.xml
FL0117,typ,TY Park,https://broward.thormobile4.net/typ/FL0117.xml
FL0118,wlp,West Lake Park,https://broward.thormobile4.net/wlp/FL0118.xml
FL0119,vvp,Vista View Park,https://broward.thormobile4.net/vvp/FL0119.xml
